"sample_id","citric","fumaric","malic","oxalic","shikimic"
"33",0,0,0,0,0
"34",0,0.134115016,7.11958721613333,0,0.231838980033042
"35",0,0,0,0,0
"36",0,0.1948258164,0,0,0
"37",0,0.1828628684,7.85349933133333,0,0
"38",0,0.2096467947,6.1885900659,0,0.0965468603752877
"39",0,0.1700146932,0,0,0
"40",0,0,0,0,0
"41",0,0,0,0,0
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",0,0.1373862555,0,0,0
"45",0,0,0,0,0
"46",0,0.1635677785,0,15.47180555,0
"47",22.8638220832,0.340286288,19.9891091766667,0,0
"48",25.29215407472,0.23382874112,11.0943798985067,0,0
"49",0,0.6686490918,9.0086784238,0,0.188518843196815
"50",0,0.104068362,11.8833172755,0,0.224846759771861
"51",19.4188056528,0.1589570912,10.4374815702667,0,0
"52",0,0,0,0,0
"53",0,0.1280913699,7.8402597317,0,0.149920431835828
"54",0,0.25643732,21.0620580236,0,0.193071128762656
"55",0,0.1247230185,8.5624952897,0,0.214544813280431
"56",18.6160283904,0.22758792805,14.80804745805,0,0.35969833566518
"57",0,0.1406412452,11.9578672928,0,0.117433153207148
"58",26.944160782,0.361031866,25.8587313141667,0,0.455680396342472
"59",6.9672049032,0.054951407,0,0,0
"60",0,0.1235077656,0,0,0
"61",16.0141830928,0.2714273736,7.77029738026667,0,0.176940449387915
"62",21.590775406,0.24862194,0,0,0
"63",0,0.1672150848,0,0,0.206942609345416
"64",0,0,0,0,0
